location,San Francisco
lat,37.99986
lon,-122.34375
asl,60.343
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,San Francisco Temperature [2 m elevation corrected]
20200522T0000,48.898808
20200522T0100,50.860806
20200522T0200,50.698807
20200522T0300,50.50081
20200522T0400,50.14081
20200522T0500,49.798805
20200522T0600,49.330807
20200522T0700,49.510803
20200522T0800,50.446808
20200522T0900,51.616806
20200522T1000,53.704807
20200522T1100,56.494804
20200522T1200,60.940804
20200522T1300,64.55881
20200522T1400,67.4028
20200522T1500,69.38281
20200522T1600,70.51681
20200522T1700,70.67881
20200522T1800,69.616806
20200522T1900,67.11481
20200522T2000,62.95681
20200522T2100,59.032806
20200522T2200,56.620808
20200522T2300,55.234806
20200523T0000,53.740807
20200523T0100,52.408806
20200523T0200,51.400806
20200523T0300,51.22081
20200523T0400,51.004807
20200523T0500,49.582806
20200523T0600,49.150806
20200523T0700,51.004807
20200523T0800,56.58481
20200523T0900,62.038807
20200523T1000,67.74481
20200523T1100,72.478806
20200523T1200,76.0968
20200523T1300,78.16681
20200523T1400,79.21081
20200523T1500,79.33681
20200523T1600,78.562805
20200523T1700,76.47481
20200523T1800,73.41481
20200523T1900,69.83281
20200523T2000,65.116806
20200523T2100,61.53481
20200523T2200,59.122807
20200523T2300,57.538803
20200524T0000,56.242805
20200524T0100,54.946808
20200524T0200,53.578804
20200524T0300,52.62481
20200524T0400,51.814808
20200524T0500,51.400806
20200524T0600,52.228806
20200524T0700,55.30681
20200524T0800,60.562805
20200524T0900,65.2068
20200524T1000,69.52681
20200524T1100,73.6488
20200524T1200,77.464806
20200524T1300,80.36281
20200524T1400,82.5948
20200524T1500,83.87281
20200524T1600,84.17881
20200524T1700,83.4588
20200524T1800,81.19081
20200524T1900,77.60881
20200524T2000,72.424805
20200524T2100,68.644806
20200524T2200,65.99881
20200524T2300,64.05481
20200525T0000,62.452805
20200525T0100,61.08481
20200525T0200,59.860806
20200525T0300,58.978806
20200525T0400,58.492805
20200525T0500,58.222805
20200525T0600,59.01481
20200525T0700,62.326805
20200525T0800,67.94281
20200525T0900,72.49681
20200525T1000,76.7628
20200525T1100,80.54281
20200525T1200,83.980804
20200525T1300,86.536804
20200525T1400,88.13881
20200525T1500,88.786804
20200525T1600,88.4268
20200525T1700,86.896805
20200525T1800,84.68281
20200525T1900,81.08281
20200525T2000,75.700806
20200525T2100,71.200806
20200525T2200,68.1768
20200525T2300,66.16081
20200526T0000,64.55881
20200526T0100,63.280807
20200526T0200,62.308807
20200526T0300,61.48081
20200526T0400,60.616806
20200526T0500,59.98681
20200526T0600,60.616806
20200526T0700,64.036804
20200526T0800,69.47281
20200526T0900,74.69281
20200526T1000,79.08481
20200526T1100,82.81081
20200526T1200,86.08681
20200526T1300,88.49881
20200526T1400,89.938805
20200526T1500,90.2088
20200526T1600,89.47081
20200526T1700,87.68881
20200526T1800,86.230804
20200526T1900,83.71081
20200526T2000,78.7068
20200526T2100,74.4588
20200526T2200,70.85881
20200526T2300,68.32081
20200527T0000,66.14281
20200527T0100,64.48681
20200527T0200,63.31681
20200527T0300,62.36281
20200527T0400,61.246807
20200527T0500,60.490807
20200527T0600,61.37281
20200527T0700,64.702805
20200527T0800,70.03081
20200527T0900,74.63881
20200527T1000,78.562805
20200527T1100,82.01881
20200527T1200,85.2048
20200527T1300,87.41881
20200527T1400,88.98481
20200527T1500,89.07481
20200527T1600,88.19281
20200527T1700,86.19481
20200527T1800,83.89081
20200527T1900,80.56081
20200527T2000,74.980804
20200527T2100,70.21081
20200527T2200,66.934814
20200527T2300,64.576805
20200528T0000,62.54281
20200528T0100,60.850807
20200528T0200,59.176807
20200528T0300,57.916805
20200528T0400,57.55681
20200528T0500,56.836807
20200528T0600,56.404808
20200528T0700,57.988808
20200528T0800,62.020805
20200528T0900,66.73681
20200528T1000,71.128815
20200528T1100,74.7648
20200528T1200,78.23881
20200528T1300,80.5968
20200528T1400,81.94681
20200528T1500,82.450806
20200528T1600,81.91081
20200528T1700,80.41681
20200528T1800,77.590805
20200528T1900,73.702805
20200528T2000,68.39281
20200528T2100,64.342804
20200528T2200,61.80481
20200528T2300,60.490807
20200529T0000,59.80681
20200529T0100,58.852806
20200529T0200,58.078804
20200529T0300,57.574806
20200529T0400,57.106804
20200529T0500,56.908806
20200529T0600,57.07081
20200529T0700,58.024807
20200529T0800,59.698807
20200529T0900,61.120808
20200529T1000,62.90281
20200529T1100,64.55881
20200529T1200,66.71881
20200529T1300,67.65481
20200529T1400,68.10481
20200529T1500,67.65481
20200529T1600,66.43081
20200529T1700,64.88281
20200529T1800,62.95681
20200529T1900,60.130806
20200529T2000,58.024807
20200529T2100,56.620808
20200529T2200,55.972805
20200529T2300,55.468807
