location,San Diego
lat,32.99987
lon,-117.18750
asl,331.036
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,San Diego Temperature [2 m elevation corrected]
20200522T0000,58.26512
20200522T0100,57.401123
20200522T0200,56.591125
20200522T0300,55.853123
20200522T0400,54.953125
20200522T0500,54.539124
20200522T0600,52.397125
20200522T0700,55.817123
20200522T0800,59.867123
20200522T0900,63.683125
20200522T1000,67.121124
20200522T1100,69.731125
20200522T1200,71.45912
20200522T1300,72.287125
20200522T1400,72.26912
20200522T1500,71.58512
20200522T1600,70.14513
20200522T1700,68.05713
20200522T1800,65.21312
20200522T1900,61.79312
20200522T2000,57.419125
20200522T2100,55.22312
20200522T2200,55.241123
20200522T2300,54.665123
20200523T0000,53.927124
20200523T0100,53.27912
20200523T0200,53.153122
20200523T0300,52.97312
20200523T0400,52.79312
20200523T0500,56.807125
20200523T0600,56.663124
20200523T0700,57.311123
20200523T0800,58.33712
20200523T0900,59.597122
20200523T1000,61.07312
20200523T1100,63.629124
20200523T1200,66.59912
20200523T1300,68.77712
20200523T1400,69.53313
20200523T1500,69.245125
20200523T1600,68.11113
20200523T1700,66.455124
20200523T1800,66.47312
20200523T1900,64.63713
20200523T2000,61.48712
20200523T2100,60.317123
20200523T2200,59.23712
20200523T2300,58.64312
20200524T0000,57.90512
20200524T0100,58.895126
20200524T0200,58.751125
20200524T0300,58.553123
20200524T0400,58.319122
20200524T0500,58.103123
20200524T0600,58.175125
20200524T0700,60.317123
20200524T0800,64.34912
20200524T0900,68.52512
20200524T1000,71.927124
20200524T1100,74.91512
20200524T1200,77.03912
20200524T1300,78.22713
20200524T1400,78.785126
20200524T1500,78.35312
20200524T1600,77.03912
20200524T1700,75.11313
20200524T1800,72.68312
20200524T1900,70.00113
20200524T2000,65.62712
20200524T2100,64.58312
20200524T2200,63.575127
20200524T2300,62.513123
20200525T0000,62.98112
20200525T0100,63.233124
20200525T0200,62.927124
20200525T0300,62.747124
20200525T0400,62.441124
20200525T0500,62.243122
20200525T0600,62.45912
20200525T0700,64.925125
20200525T0800,69.245125
20200525T0900,73.83512
20200525T1000,78.28113
20200525T1100,81.953125
20200525T1200,84.77912
20200525T1300,86.29112
20200525T1400,86.84912
20200525T1500,86.32712
20200525T1600,84.83312
20200525T1700,82.70912
20200525T1800,80.33312
20200525T1900,77.093124
20200525T2000,71.063126
20200525T2100,69.17313
20200525T2200,68.12912
20200525T2300,67.21112
20200526T0000,66.31113
20200526T0100,65.62712
20200526T0200,64.24112
20200526T0300,63.773125
20200526T0400,63.73712
20200526T0500,63.01712
20200526T0600,63.215126
20200526T0700,67.44513
20200526T0800,73.94313
20200526T0900,79.61313
20200526T1000,84.437126
20200526T1100,87.80312
20200526T1200,89.621124
20200526T1300,89.94512
20200526T1400,89.26112
20200526T1500,88.10912
20200526T1600,86.23712
20200526T1700,84.00513
20200526T1800,81.17912
20200526T1900,77.759125
20200526T2000,71.99913
20200526T2100,70.19913
20200526T2200,69.33512
20200526T2300,68.41712
20200527T0000,67.841125
20200527T0100,67.26512
20200527T0200,66.509125
20200527T0300,65.82513
20200527T0400,65.12312
20200527T0500,64.58312
20200527T0600,64.70912
20200527T0700,68.05713
20200527T0800,72.93512
20200527T0900,77.705124
20200527T1000,82.22312
20200527T1100,85.67912
20200527T1200,87.96512
20200527T1300,89.063126
20200527T1400,88.37912
20200527T1500,86.79512
20200527T1600,84.509125
20200527T1700,81.88113
20200527T1800,78.785126
20200527T1900,75.16712
20200527T2000,69.82112
20200527T2100,67.229126
20200527T2200,65.843124
20200527T2300,64.88913
20200528T0000,64.22312
20200528T0100,63.773125
20200528T0200,63.179123
20200528T0300,62.45912
20200528T0400,61.757126
20200528T0500,61.451126
20200528T0600,62.369125
20200528T0700,66.49112
20200528T0800,71.47713
20200528T0900,75.59912
20200528T1000,78.51512
20200528T1100,80.71112
20200528T1200,82.27712
20200528T1300,83.231125
20200528T1400,83.15912
20200528T1500,82.133125
20200528T1600,80.17113
20200528T1700,77.83112
20200528T1800,75.04112
20200528T1900,71.63913
20200528T2000,67.39113
20200528T2100,65.48312
20200528T2200,63.881123
20200528T2300,62.89112
20200529T0000,63.269127
20200529T0100,63.485123
20200529T0200,63.467125
20200529T0300,63.215126
20200529T0400,62.89112
20200529T0500,62.54912
20200529T0600,62.963127
20200529T0700,64.799126
20200529T0800,67.58913
20200529T0900,70.66712
20200529T1000,73.51112
20200529T1100,75.941124
20200529T1200,77.399124
20200529T1300,78.119125
20200529T1400,78.49712
20200529T1500,78.02912
20200529T1600,76.55312
20200529T1700,74.46512
20200529T1800,71.20712
20200529T1900,67.46312
20200529T2000,62.83712
20200529T2100,61.577126
20200529T2200,60.749123
20200529T2300,60.011124
