location,San Antonio
lat,29.33321
lon,-98.43750
asl,205.731
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,San Antonio Temperature [2 m elevation corrected]
20200522T0000,72.716446
20200522T0100,71.85245
20200522T0200,72.48245
20200522T0300,72.19445
20200522T0400,72.14045
20200522T0500,72.410446
20200522T0600,72.66245
20200522T0700,72.950455
20200522T0800,73.976456
20200522T0900,75.95645
20200522T1000,78.35045
20200522T1100,82.670456
20200522T1200,83.10245
20200522T1300,85.20845
20200522T1400,88.61045
20200522T1500,90.356445
20200522T1600,91.34645
20200522T1700,91.38245
20200522T1800,89.978455
20200522T1900,87.440445
20200522T2000,83.44445
20200522T2100,80.47445
20200522T2200,78.31445
20200522T2300,76.67645
20200523T0000,75.200455
20200523T0100,73.83245
20200523T0200,73.274445
20200523T0300,73.004456
20200523T0400,72.68045
20200523T0500,72.39245
20200523T0600,72.21245
20200523T0700,74.228455
20200523T0800,75.524445
20200523T0900,77.64845
20200523T1000,79.61045
20200523T1100,81.37445
20200523T1200,83.192444
20200523T1300,84.79445
20200523T1400,86.216446
20200523T1500,88.19645
20200523T1600,88.89845
20200523T1700,88.97045
20200523T1800,88.19645
20200523T1900,86.64845
20200523T2000,84.560455
20200523T2100,81.14045
20200523T2200,79.61045
20200523T2300,78.00845
20200524T0000,77.18045
20200524T0100,75.920456
20200524T0200,74.93045
20200524T0300,74.840454
20200524T0400,74.33645
20200524T0500,73.95845
20200524T0600,73.83245
20200524T0700,73.95845
20200524T0800,75.05646
20200524T0900,75.36246
20200524T1000,77.64845
20200524T1100,77.25245
20200524T1200,80.79845
20200524T1300,82.616455
20200524T1400,83.57045
20200524T1500,84.47045
20200524T1600,82.922455
20200524T1700,80.58245
20200524T1800,79.35845
20200524T1900,77.72045
20200524T2000,77.99045
20200524T2100,76.80245
20200524T2200,75.920456
20200524T2300,75.70445
20200525T0000,75.03845
20200525T0100,73.616455
20200525T0200,72.32045
20200525T0300,71.79845
20200525T0400,71.726456
20200525T0500,71.420456
20200525T0600,71.18645
20200525T0700,71.060455
20200525T0800,71.92445
20200525T0900,74.04845
20200525T1000,76.65845
20200525T1100,79.59245
20200525T1200,80.618454
20200525T1300,80.88845
20200525T1400,81.17645
20200525T1500,81.30245
20200525T1600,83.15645
20200525T1700,83.24645
20200525T1800,82.85045
20200525T1900,82.05846
20200525T2000,79.44845
20200525T2100,76.69445
20200525T2200,74.19245
20200525T2300,72.950455
20200526T0000,72.75246
20200526T0100,70.79045
20200526T0200,69.476456
20200526T0300,68.27045
20200526T0400,67.44245
20200526T0500,66.830444
20200526T0600,65.660446
20200526T0700,65.98445
20200526T0800,67.55045
20200526T0900,71.81645
20200526T1000,75.578445
20200526T1100,78.368454
20200526T1200,80.22245
20200526T1300,81.93245
20200526T1400,83.35445
20200526T1500,84.29045
20200526T1600,84.74045
20200526T1700,84.938446
20200526T1800,84.68645
20200526T1900,84.12845
20200526T2000,81.73445
20200526T2100,78.98045
20200526T2200,76.02845
20200526T2300,73.45445
20200527T0000,71.92445
20200527T0100,70.57445
20200527T0200,69.728455
20200527T0300,69.00845
20200527T0400,68.450455
20200527T0500,67.92845
20200527T0600,67.49645
20200527T0700,66.90245
20200527T0800,71.74445
20200527T0900,76.58645
20200527T1000,80.22245
20200527T1100,82.868454
20200527T1200,85.55045
20200527T1300,87.89045
20200527T1400,89.76245
20200527T1500,91.04045
20200527T1600,91.868454
20200527T1700,91.994446
20200527T1800,91.616455
20200527T1900,90.284454
20200527T2000,86.216446
20200527T2100,82.45445
20200527T2200,78.92645
20200527T2300,76.10045
20200528T0000,74.67845
20200528T0100,73.52645
20200528T0200,71.81645
20200528T0300,70.55646
20200528T0400,69.29645
20200528T0500,70.35845
20200528T0600,70.17845
20200528T0700,70.718445
20200528T0800,72.62645
20200528T0900,75.48845
20200528T1000,78.94445
20200528T1100,81.53645
20200528T1200,80.92445
20200528T1300,85.96445
20200528T1400,88.394455
20200528T1500,89.88845
20200528T1600,88.73645
20200528T1700,86.73845
20200528T1800,83.40845
20200528T1900,83.660446
20200528T2000,81.968445
20200528T2100,79.75445
20200528T2200,77.97245
20200528T2300,76.35245
20200529T0000,75.200455
20200529T0100,74.15645
20200529T0200,72.86045
20200529T0300,71.94245
20200529T0400,71.09645
20200529T0500,70.84445
20200529T0600,70.68245
20200529T0700,70.55646
20200529T0800,73.81445
20200529T0900,78.134445
20200529T1000,80.99645
20200529T1100,82.562454
20200529T1200,84.03845
20200529T1300,85.31645
20200529T1400,86.54045
20200529T1500,87.35045
20200529T1600,87.90845
20200529T1700,88.034454
20200529T1800,87.49445
20200529T1900,86.16245
20200529T2000,83.03045
20200529T2100,79.466446
20200529T2200,77.01845
20200529T2300,74.60645
