location,Chicago
lat,41.99986
lon,-87.65625
asl,188.244
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Chicago Temperature [2 m elevation corrected]
20200522T0000,60.890152
20200522T0100,60.548157
20200522T0200,60.242157
20200522T0300,60.062157
20200522T0400,60.044155
20200522T0500,59.828156
20200522T0600,59.882156
20200522T0700,61.088154
20200522T0800,62.708153
20200522T0900,64.56215
20200522T1000,65.40816
20200522T1100,66.20015
20200522T1200,67.06415
20200522T1300,67.37015
20200522T1400,67.442154
20200522T1500,67.28015
20200522T1600,66.97415
20200522T1700,67.17215
20200522T1800,66.75815
20200522T1900,65.858154
20200522T2000,64.274155
20200522T2100,62.54615
20200522T2200,61.01615
20200522T2300,59.756153
20200523T0000,58.640152
20200523T0100,57.758156
20200523T0200,57.362152
20200523T0300,56.894157
20200523T0400,56.82215
20200523T0500,56.858154
20200523T0600,57.236153
20200523T0700,58.406155
20200523T0800,60.368156
20200523T0900,64.634155
20200523T1000,69.58415
20200523T1100,73.22015
20200523T1200,75.524155
20200523T1300,74.01215
20200523T1400,73.38216
20200523T1500,74.04816
20200523T1600,76.64015
20200523T1700,75.02016
20200523T1800,74.26415
20200523T1900,73.86815
20200523T2000,74.64215
20200523T2100,73.43615
20200523T2200,72.15816
20200523T2300,70.89815
20200524T0000,69.45815
20200524T0100,68.36015
20200524T0200,67.56815
20200524T0300,66.63216
20200524T0400,65.62415
20200524T0500,64.47215
20200524T0600,64.25615
20200524T0700,65.246155
20200524T0800,68.23415
20200524T0900,71.56415
20200524T1000,75.41615
20200524T1100,78.76415
20200524T1200,81.44615
20200524T1300,83.606155
20200524T1400,85.46015
20200524T1500,86.79215
20200524T1600,87.71015
20200524T1700,87.98015
20200524T1800,87.692154
20200524T1900,86.34215
20200524T2000,82.45415
20200524T2100,79.01615
20200524T2200,76.442154
20200524T2300,74.606155
20200525T0000,72.87815
20200525T0100,71.31215
20200525T0200,69.94415
20200525T0300,69.04416
20200525T0400,69.09815
20200525T0500,68.97215
20200525T0600,69.134155
20200525T0700,69.67415
20200525T0800,71.78015
20200525T0900,75.236145
20200525T1000,78.33215
20200525T1100,80.78015
20200525T1200,82.994156
20200525T1300,84.48815
20200525T1400,85.10016
20200525T1500,85.82015
20200525T1600,86.34215
20200525T1700,86.09015
20200525T1800,84.650154
20200525T1900,83.48015
20200525T2000,81.15816
20200525T2100,78.63815
20200525T2200,76.46015
20200525T2300,74.94815
20200526T0000,73.83215
20200526T0100,72.87815
20200526T0200,71.79816
20200526T0300,70.43015
20200526T0400,68.84615
20200526T0500,67.550156
20200526T0600,67.40616
20200526T0700,69.54816
20200526T0800,74.08415
20200526T0900,77.68415
20200526T1000,80.72615
20200526T1100,80.09615
20200526T1200,79.466156
20200526T1300,80.384155
20200526T1400,80.97815
20200526T1500,80.744156
20200526T1600,78.98015
20200526T1700,78.27815
20200526T1800,77.84615
20200526T1900,78.02615
20200526T2000,77.43215
20200526T2100,76.82015
20200526T2200,76.442154
20200526T2300,76.37015
20200527T0000,75.164154
20200527T0100,73.79616
20200527T0200,72.42815
20200527T0300,71.31215
20200527T0400,70.39415
20200527T0500,69.53015
20200527T0600,69.36815
20200527T0700,71.438156
20200527T0800,74.51615
20200527T0900,76.40616
20200527T1000,78.31415
20200527T1100,78.494156
20200527T1200,78.45815
20200527T1300,79.23215
20200527T1400,80.61815
20200527T1500,80.11415
20200527T1600,79.21416
20200527T1700,78.99815
20200527T1800,77.99015
20200527T1900,77.14415
20200527T2000,75.59615
20200527T2100,73.83215
20200527T2200,72.608154
20200527T2300,72.050156
20200528T0000,71.384155
20200528T0100,70.61015
20200528T0200,69.58415
20200528T0300,68.73815
20200528T0400,68.45015
20200528T0500,68.108154
20200528T0600,68.108154
20200528T0700,68.39615
20200528T0800,69.96216
20200528T0900,71.00615
20200528T1000,71.29416
20200528T1100,71.40215
20200528T1200,72.01415
20200528T1300,73.022156
20200528T1400,74.04816
20200528T1500,77.64815
20200528T1600,78.42215
20200528T1700,78.22415
20200528T1800,77.288155
20200528T1900,75.77615
20200528T2000,73.20215
20200528T2100,70.57416
20200528T2200,68.162155
20200528T2300,66.578156
20200529T0000,65.80415
20200529T0100,65.08415
20200529T0200,64.54416
20200529T0300,64.14815
20200529T0400,63.93215
20200529T0500,63.770153
20200529T0600,63.57215
20200529T0700,64.72415
20200529T0800,64.274155
20200529T0900,65.732155
20200529T1000,68.522156
20200529T1100,71.11415
20200529T1200,70.73615
20200529T1300,70.61015
20200529T1400,70.50215
20200529T1500,69.87215
20200529T1600,69.36815
20200529T1700,69.692154
20200529T1800,68.23415
20200529T1900,66.68615
20200529T2000,65.15616
20200529T2100,63.10415
20200529T2200,61.232155
20200529T2300,59.684155
