location,New York
lat,40.66653
lon,-74.06250
asl,44.788
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,New York Temperature [2 m elevation corrected]
20200522T0000,51.037014
20200522T0100,50.533012
20200522T0200,50.317013
20200522T0300,50.083015
20200522T0400,50.029015
20200522T0500,50.029015
20200522T0600,50.065014
20200522T0700,50.695015
20200522T0800,52.513016
20200522T0900,55.249012
20200522T1000,57.697014
20200522T1100,60.019012
20200522T1200,62.46702
20200522T1300,65.76102
20200522T1400,67.88501
20200522T1500,67.79501
20200522T1600,67.111015
20200522T1700,66.58902
20200522T1800,66.53502
20200522T1900,65.94101
20200522T2000,64.46501
20200522T2100,63.079018
20200522T2200,62.197014
20200522T2300,61.441013
20200523T0000,60.793015
20200523T0100,60.073013
20200523T0200,59.47901
20200523T0300,59.083015
20200523T0400,58.849014
20200523T0500,58.68701
20200523T0600,58.63301
20200523T0700,59.119015
20200523T0800,61.225014
20200523T0900,62.143017
20200523T1000,64.069016
20200523T1100,67.07501
20200523T1200,69.55901
20200523T1300,70.08102
20200523T1400,70.405014
20200523T1500,69.57701
20200523T1600,68.947014
20200523T1700,67.56102
20200523T1800,65.347015
20200523T1900,62.539017
20200523T2000,59.731014
20200523T2100,58.039013
20200523T2200,57.157013
20200523T2300,55.789013
20200524T0000,54.457016
20200524T0100,53.935013
20200524T0200,53.683014
20200524T0300,53.359016
20200524T0400,52.711014
20200524T0500,51.019012
20200524T0600,49.957016
20200524T0700,50.497017
20200524T0800,51.955013
20200524T0900,54.277016
20200524T1000,56.725014
20200524T1100,59.893013
20200524T1200,63.241013
20200524T1300,64.96902
20200524T1400,66.17502
20200524T1500,66.66101
20200524T1600,66.58902
20200524T1700,65.905014
20200524T1800,64.91501
20200524T1900,63.403015
20200524T2000,61.369015
20200524T2100,59.083015
20200524T2200,57.53501
20200524T2300,56.185013
20200525T0000,55.609016
20200525T0100,54.889015
20200525T0200,54.349014
20200525T0300,54.00701
20200525T0400,53.719013
20200525T0500,53.449013
20200525T0600,53.341015
20200525T0700,53.863014
20200525T0800,54.763016
20200525T0900,56.419014
20200525T1000,58.147015
20200525T1100,59.695015
20200525T1200,60.829014
20200525T1300,61.90901
20200525T1400,63.115013
20200525T1500,64.35701
20200525T1600,65.31102
20200525T1700,65.99501
20200525T1800,66.10301
20200525T1900,65.56302
20200525T2000,64.57301
20200525T2100,63.295013
20200525T2200,62.089012
20200525T2300,60.667015
20200526T0000,59.749012
20200526T0100,59.353012
20200526T0200,58.867012
20200526T0300,58.651016
20200526T0400,58.417015
20200526T0500,58.237015
20200526T0600,58.183014
20200526T0700,58.561012
20200526T0800,59.713013
20200526T0900,62.611015
20200526T1000,66.51701
20200526T1100,71.08902
20200526T1200,74.97701
20200526T1300,77.40701
20200526T1400,78.99101
20200526T1500,79.891014
20200526T1600,79.999016
20200526T1700,79.60301
20200526T1800,78.59502
20200526T1900,76.61501
20200526T2000,73.429016
20200526T2100,68.749016
20200526T2200,65.63501
20200526T2300,63.331017
20200527T0000,61.999016
20200527T0100,61.099014
20200527T0200,60.631012
20200527T0300,60.109016
20200527T0400,59.677013
20200527T0500,59.317013
20200527T0600,59.119015
20200527T0700,59.461014
20200527T0800,60.847015
20200527T0900,64.08702
20200527T1000,68.155014
20200527T1100,72.33102
20200527T1200,75.28301
20200527T1300,77.01102
20200527T1400,78.181015
20200527T1500,79.00902
20200527T1600,79.04501
20200527T1700,78.34302
20200527T1800,77.13702
20200527T1900,75.04901
20200527T2000,72.349014
20200527T2100,68.749016
20200527T2200,66.391014
20200527T2300,64.41101
20200528T0000,62.989014
20200528T0100,62.845016
20200528T0200,62.125015
20200528T0300,61.891014
20200528T0400,61.891014
20200528T0500,61.873016
20200528T0600,62.071014
20200528T0700,62.791016
20200528T0800,64.10501
20200528T0900,67.543015
20200528T1000,71.08902
20200528T1100,73.60901
20200528T1200,74.77902
20200528T1300,73.375015
20200528T1400,72.74501
20200528T1500,74.20302
20200528T1600,72.56502
20200528T1700,71.39502
20200528T1800,72.31302
20200528T1900,71.557014
20200528T2000,70.099014
20200528T2100,68.083015
20200528T2200,67.00301
20200528T2300,66.33702
20200529T0000,66.33702
20200529T0100,66.28302
20200529T0200,66.139015
20200529T0300,65.97701
20200529T0400,65.88702
20200529T0500,65.85101
20200529T0600,66.03102
20200529T0700,66.751015
20200529T0800,67.92101
20200529T0900,71.32301
20200529T1000,74.76102
20200529T1100,77.73102
20200529T1200,78.16301
20200529T1300,77.40701
20200529T1400,77.91101
20200529T1500,78.21701
20200529T1600,78.09102
20200529T1700,76.88501
20200529T1800,76.34502
20200529T1900,75.265015
20200529T2000,73.66301
20200529T2100,71.93501
20200529T2200,70.47701
20200529T2300,69.361015
