location,Boston
lat,42.33319
lon,-71.25000
asl,71.863
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Boston Temperature [2 m elevation corrected]
20200522T0000,47.329002
20200522T0100,46.051003
20200522T0200,45.241
20200522T0300,44.215
20200522T0400,42.757
20200522T0500,41.785
20200522T0600,43.171
20200522T0700,48.733
20200522T0800,55.321
20200522T0900,60.397
20200522T1000,65.328995
20200522T1100,69.451004
20200522T1200,71.719
20200522T1300,73.555
20200522T1400,74.887
20200522T1500,75.535
20200522T1600,75.517
20200522T1700,74.707
20200522T1800,73.375
20200522T1900,71.053
20200522T2000,67.272995
20200522T2100,64.033005
20200522T2200,61.747
20200522T2300,59.983
20200523T0000,59.137
20200523T0100,58.669
20200523T0200,58.687
20200523T0300,58.633003
20200523T0400,58.435
20200523T0500,57.805
20200523T0600,59.353
20200523T0700,62.683
20200523T0800,62.863
20200523T0900,63.817
20200523T1000,63.979
20200523T1100,61.207
20200523T1200,57.049004
20200523T1300,55.051003
20200523T1400,55.537003
20200523T1500,55.123
20200523T1600,54.079002
20200523T1700,53.017002
20200523T1800,52.873
20200523T1900,50.875
20200523T2000,47.995003
20200523T2100,45.943
20200523T2200,45.547
20200523T2300,44.827003
20200524T0000,44.107002
20200524T0100,43.567
20200524T0200,43.027
20200524T0300,42.379
20200524T0400,41.767002
20200524T0500,41.047
20200524T0600,42.199
20200524T0700,46.051003
20200524T0800,50.065002
20200524T0900,53.215
20200524T1000,55.771
20200524T1100,57.697
20200524T1200,58.849
20200524T1300,59.299004
20200524T1400,59.155
20200524T1500,58.759003
20200524T1600,58.057
20200524T1700,56.887
20200524T1800,55.285004
20200524T1900,52.621002
20200524T2000,48.895004
20200524T2100,46.159
20200524T2200,45.439003
20200524T2300,43.909
20200525T0000,44.017002
20200525T0100,44.305
20200525T0200,44.269
20200525T0300,44.269
20200525T0400,44.179
20200525T0500,44.125
20200525T0600,44.377
20200525T0700,45.259003
20200525T0800,46.519
20200525T0900,49.741
20200525T1000,53.143
20200525T1100,57.805
20200525T1200,62.431
20200525T1300,64.375
20200525T1400,65.923004
20200525T1500,67.05701
20200525T1600,67.183
20200525T1700,67.309006
20200525T1800,67.039
20200525T1900,65.545
20200525T2000,63.259003
20200525T2100,60.091
20200525T2200,57.913002
20200525T2300,56.329002
20200526T0000,55.483
20200526T0100,55.735
20200526T0200,55.771
20200526T0300,55.825
20200526T0400,55.789
20200526T0500,55.807
20200526T0600,56.851
20200526T0700,58.489
20200526T0800,60.990997
20200526T0900,64.825
20200526T1000,68.875
20200526T1100,72.907
20200526T1200,76.003
20200526T1300,78.073
20200526T1400,79.477005
20200526T1500,80.305
20200526T1600,80.449005
20200526T1700,80.160995
20200526T1800,79.243
20200526T1900,77.281006
20200526T2000,73.573
20200526T2100,70.099
20200526T2200,67.326996
20200526T2300,64.879
20200527T0000,62.827003
20200527T0100,61.261
20200527T0200,59.947
20200527T0300,58.614998
20200527T0400,57.301003
20200527T0500,55.987
20200527T0600,56.617
20200527T0700,60.523003
20200527T0800,64.915
20200527T0900,70.315
20200527T1000,74.725006
20200527T1100,78.145004
20200527T1200,80.485
20200527T1300,82.123
20200527T1400,82.897
20200527T1500,83.041
20200527T1600,82.339005
20200527T1700,81.043
20200527T1800,79.188995
20200527T1900,76.345
20200527T2000,72.187
20200527T2100,67.632996
20200527T2200,64.789
20200527T2300,63.114998
20200528T0000,62.161
20200528T0100,61.621002
20200528T0200,61.225
20200528T0300,60.919
20200528T0400,60.955
20200528T0500,61.423
20200528T0600,62.809
20200528T0700,65.581
20200528T0800,67.831
20200528T0900,71.466995
20200528T1000,73.141
20200528T1100,74.11301
20200528T1200,74.311005
20200528T1300,75.031006
20200528T1400,77.335
20200528T1500,78.685
20200528T1600,78.937
20200528T1700,78.073
20200528T1800,75.877
20200528T1900,73.141
20200528T2000,70.873
20200528T2100,68.929
20200528T2200,67.903
20200528T2300,66.985
20200529T0000,66.499
20200529T0100,66.445
20200529T0200,66.499
20200529T0300,66.481
20200529T0400,66.211
20200529T0500,65.959
20200529T0600,66.121
20200529T0700,67.255
20200529T0800,69.487
20200529T0900,73.069
20200529T1000,75.859
20200529T1100,77.461
20200529T1200,77.713
20200529T1300,78.001
20200529T1400,78.361
20200529T1500,79.837006
20200529T1600,80.179
20200529T1700,77.155
20200529T1800,78.001
20200529T1900,75.841
20200529T2000,72.817
20200529T2100,70.297
20200529T2200,67.975006
20200529T2300,66.103
