location,Houston
lat,29.66654
lon,-95.15625
asl,8.155
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Houston Temperature [2 m elevation corrected]
20200522T0000,74.68701
20200522T0100,75.11901
20200522T0200,75.31701
20200522T0300,75.22701
20200522T0400,74.92101
20200522T0500,74.86701
20200522T0600,75.01101
20200522T0700,75.04701
20200522T0800,77.96301
20200522T0900,81.32901
20200522T1000,84.22701
20200522T1100,86.35101
20200522T1200,87.89901
20200522T1300,88.709015
20200522T1400,88.92501
20200522T1500,88.20501
20200522T1600,87.01701
20200522T1700,85.57701
20200522T1800,84.42501
20200522T1900,82.91301
20200522T2000,80.05101
20200522T2100,77.459015
20200522T2200,76.05501
20200522T2300,75.19101
20200523T0000,74.813
20200523T0100,74.77701
20200523T0200,76.505005
20200523T0300,76.91901
20200523T0400,77.00901
20200523T0500,75.94701
20200523T0600,73.76901
20200523T0700,77.81901
20200523T0800,79.42101
20200523T0900,82.40901
20200523T1000,84.64101
20200523T1100,86.117004
20200523T1200,86.96301
20200523T1300,87.701004
20200523T1400,87.86301
20200523T1500,87.59301
20200523T1600,86.54901
20200523T1700,84.06501
20200523T1800,81.99501
20200523T1900,80.24901
20200523T2000,79.52901
20200523T2100,77.837006
20200523T2200,76.72101
20200523T2300,75.44301
20200524T0000,74.99301
20200524T0100,74.45301
20200524T0200,73.75101
20200524T0300,73.44501
20200524T0400,73.82301
20200524T0500,74.63301
20200524T0600,74.43501
20200524T0700,74.52501
20200524T0800,79.22301
20200524T0900,79.56501
20200524T1000,80.87901
20200524T1100,78.84501
20200524T1200,78.64701
20200524T1300,78.35901
20200524T1400,77.89101
20200524T1500,77.33301
20200524T1600,76.93701
20200524T1700,76.68501
20200524T1800,76.59501
20200524T1900,76.16301
20200524T2000,75.71301
20200524T2100,74.93901
20200524T2200,74.201004
20200524T2300,74.237015
20200525T0000,73.85901
20200525T0100,74.11101
20200525T0200,73.76901
20200525T0300,73.679016
20200525T0400,72.83301
20200525T0500,71.50101
20200525T0600,69.88101
20200525T0700,70.96101
20200525T0800,76.32501
20200525T0900,75.96501
20200525T1000,76.41501
20200525T1100,80.35701
20200525T1200,83.14701
20200525T1300,82.91301
20200525T1400,84.04701
20200525T1500,83.27301
20200525T1600,81.599014
20200525T1700,81.79701
20200525T1800,82.31901
20200525T1900,81.27501
20200525T2000,78.16101
20200525T2100,75.62301
20200525T2200,74.45301
20200525T2300,73.62501
20200526T0000,72.311005
20200526T0100,70.25901
20200526T0200,70.25901
20200526T0300,69.89901
20200526T0400,68.87301
20200526T0500,68.47701
20200526T0600,67.61301
20200526T0700,67.05501
20200526T0800,69.53901
20200526T0900,73.40901
20200526T1000,76.28901
20200526T1100,80.55501
20200526T1200,83.309006
20200526T1300,85.32501
20200526T1400,85.43301
20200526T1500,82.04901
20200526T1600,80.55501
20200526T1700,79.85301
20200526T1800,82.82301
20200526T1900,82.04901
20200526T2000,79.42101
20200526T2100,77.33301
20200526T2200,75.37101
20200526T2300,73.53501
20200527T0000,72.18501
20200527T0100,70.99701
20200527T0200,69.86301
20200527T0300,69.071014
20200527T0400,68.153015
20200527T0500,67.235016
20200527T0600,66.55101
20200527T0700,66.821014
20200527T0800,73.031006
20200527T0900,77.98101
20200527T1000,81.293015
20200527T1100,83.903015
20200527T1200,86.369
20200527T1300,88.07901
20200527T1400,89.24901
20200527T1500,89.68101
20200527T1600,84.31701
20200527T1700,82.30101
20200527T1800,80.951004
20200527T1900,79.07901
20200527T2000,76.34301
20200527T2100,74.291016
20200527T2200,71.84301
20200527T2300,71.41101
20200528T0000,70.96101
20200528T0100,69.95301
20200528T0200,68.31501
20200528T0300,67.811005
20200528T0400,67.68501
20200528T0500,66.929016
20200528T0600,66.33501
20200528T0700,68.42301
20200528T0800,76.16301
20200528T0900,80.57301
20200528T1000,83.38101
20200528T1100,80.645004
20200528T1200,80.48301
20200528T1300,83.975006
20200528T1400,85.541016
20200528T1500,86.38701
20200528T1600,85.70301
20200528T1700,85.253006
20200528T1800,83.36301
20200528T1900,83.27301
20200528T2000,80.10501
20200528T2100,77.44101
20200528T2200,76.10901
20200528T2300,75.35301
20200529T0000,74.43501
20200529T0100,73.73301
20200529T0200,72.70701
20200529T0300,72.40101
20200529T0400,72.45501
20200529T0500,72.49101
20200529T0600,72.43701
20200529T0700,72.653015
20200529T0800,74.34501
20200529T0900,77.71101
20200529T1000,80.86101
20200529T1100,83.09301
20200529T1200,84.85701
20200529T1300,86.13501
20200529T1400,87.19701
20200529T1500,87.71901
20200529T1600,87.97101
20200529T1700,87.95301
20200529T1800,87.41301
20200529T1900,86.27901
20200529T2000,82.337006
20200529T2100,80.753006
20200529T2200,79.54701
20200529T2300,78.86301
