location,Washington D.C.
lat,38.99986
lon,-76.87500
asl,49.313
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Washington D.C. Temperature [2 m elevation corrected]
20200522T0000,59.24306
20200522T0100,58.379063
20200522T0200,57.785065
20200522T0300,57.26306
20200522T0400,56.95706
20200522T0500,56.72306
20200522T0600,56.54306
20200522T0700,56.831062
20200522T0800,57.497063
20200522T0900,58.037064
20200522T1000,58.54106
20200522T1100,59.315063
20200522T1200,60.575066
20200522T1300,62.159065
20200522T1400,64.175064
20200522T1500,65.48906
20200522T1600,66.46106
20200522T1700,67.217064
20200522T1800,67.631065
20200522T1900,67.86507
20200522T2000,67.505066
20200522T2100,66.71306
20200522T2200,66.28107
20200522T2300,65.52506
20200523T0000,64.895065
20200523T0100,64.33707
20200523T0200,63.83306
20200523T0300,63.383064
20200523T0400,62.969063
20200523T0500,62.591064
20200523T0600,62.231064
20200523T0700,62.591064
20200523T0800,66.38907
20200523T0900,68.89107
20200523T1000,68.71106
20200523T1100,69.43106
20200523T1200,70.51106
20200523T1300,72.29306
20200523T1400,74.633064
20200523T1500,76.00107
20200523T1600,77.04506
20200523T1700,77.63907
20200523T1800,77.81906
20200523T1900,77.369064
20200523T2000,76.64906
20200523T2100,76.59506
20200523T2200,74.57906
20200523T2300,71.80707
20200524T0000,67.703064
20200524T0100,65.05707
20200524T0200,63.04106
20200524T0300,60.845062
20200524T0400,59.27906
20200524T0500,58.073063
20200524T0600,57.08306
20200524T0700,56.77706
20200524T0800,57.065063
20200524T0900,58.86506
20200524T1000,61.475067
20200524T1100,64.82306
20200524T1200,68.29706
20200524T1300,70.367065
20200524T1400,72.05907
20200524T1500,73.24706
20200524T1600,73.82306
20200524T1700,73.661064
20200524T1800,73.049065
20200524T1900,71.84306
20200524T2000,69.827065
20200524T2100,66.80306
20200524T2200,64.661064
20200524T2300,62.915062
20200525T0000,61.799065
20200525T0100,60.935062
20200525T0200,60.17906
20200525T0300,59.531063
20200525T0400,58.93706
20200525T0500,58.523064
20200525T0600,58.109062
20200525T0700,58.05506
20200525T0800,58.649063
20200525T0900,60.323063
20200525T1000,63.131065
20200525T1100,66.89307
20200525T1200,70.88907
20200525T1300,73.40906
20200525T1400,75.49706
20200525T1500,77.15306
20200525T1600,78.10706
20200525T1700,78.59306
20200525T1800,78.575066
20200525T1900,77.81906
20200525T2000,76.505066
20200525T2100,73.283066
20200525T2200,70.58307
20200525T2300,68.02706
20200526T0000,65.83107
20200526T0100,64.481064
20200526T0200,63.293064
20200526T0300,62.069065
20200526T0400,60.935062
20200526T0500,59.873062
20200526T0600,59.40506
20200526T0700,60.08906
20200526T0800,60.97106
20200526T0900,63.761063
20200526T1000,66.87506
20200526T1100,70.38506
20200526T1200,73.82306
20200526T1300,76.43306
20200526T1400,78.28706
20200526T1500,79.74506
20200526T1600,80.32106
20200526T1700,80.26706
20200526T1800,79.65506
20200526T1900,78.23306
20200526T2000,76.34306
20200526T2100,73.24706
20200526T2200,70.619064
20200526T2300,68.477066
20200527T0000,66.839066
20200527T0100,65.88506
20200527T0200,64.967064
20200527T0300,64.01306
20200527T0400,63.383064
20200527T0500,63.095062
20200527T0600,62.789062
20200527T0700,63.023064
20200527T0800,63.995064
20200527T0900,66.89307
20200527T1000,70.313065
20200527T1100,73.85906
20200527T1200,77.33306
20200527T1300,79.58306
20200527T1400,81.27506
20200527T1500,82.481064
20200527T1600,82.841064
20200527T1700,82.24706
20200527T1800,81.203064
20200527T1900,79.54706
20200527T2000,77.38707
20200527T2100,74.30907
20200527T2200,71.91506
20200527T2300,69.84506
20200528T0000,68.38707
20200528T0100,68.22507
20200528T0200,67.68506
20200528T0300,67.54106
20200528T0400,67.82906
20200528T0500,68.17107
20200528T0600,68.49506
20200528T0700,68.56706
20200528T0800,69.07106
20200528T0900,71.50107
20200528T1000,73.44507
20200528T1100,75.92906
20200528T1200,77.87306
20200528T1300,81.14906
20200528T1400,82.229065
20200528T1500,79.99706
20200528T1600,80.951065
20200528T1700,81.977066
20200528T1800,81.79706
20200528T1900,81.05907
20200528T2000,79.673065
20200528T2100,77.17107
20200528T2200,75.785065
20200528T2300,74.507065
20200529T0000,73.51707
20200529T0100,72.59906
20200529T0200,71.519066
20200529T0300,71.08707
20200529T0400,70.799065
20200529T0500,70.60106
20200529T0600,70.51106
20200529T0700,70.87106
20200529T0800,71.86107
20200529T0900,74.12906
20200529T1000,76.23506
20200529T1100,78.61107
20200529T1200,81.50906
20200529T1300,83.61507
20200529T1400,81.88707
20200529T1500,81.59906
20200529T1600,80.86107
20200529T1700,81.05907
20200529T1800,81.81506
20200529T1900,80.825066
20200529T2000,79.187065
20200529T2100,77.17107
20200529T2200,75.69507
20200529T2300,74.21906
