location,Philadelphia
lat,39.99986
lon,-75.00000
asl,40.714
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Philadelphia Temperature [2 m elevation corrected]
20200522T0000,54.943954
20200522T0100,54.079956
20200522T0200,53.593956
20200522T0300,53.161957
20200522T0400,52.945953
20200522T0500,52.711956
20200522T0600,52.495956
20200522T0700,53.179955
20200522T0800,55.159958
20200522T0900,58.273956
20200522T1000,61.747955
20200522T1100,64.86195
20200522T1200,65.707954
20200522T1300,65.59995
20200522T1400,65.095955
20200522T1500,65.02396
20200522T1600,64.915955
20200522T1700,64.37595
20200522T1800,63.403954
20200522T1900,62.233955
20200522T2000,61.333954
20200522T2100,60.577957
20200522T2200,60.073956
20200522T2300,59.71396
20200523T0000,59.479958
20200523T0100,59.371956
20200523T0200,59.479958
20200523T0300,59.58796
20200523T0400,59.71396
20200523T0500,59.857956
20200523T0600,60.037956
20200523T0700,60.68596
20200523T0800,64.19595
20200523T0900,66.193954
20200523T1000,69.61395
20200523T1100,68.96596
20200523T1200,69.43396
20200523T1300,70.027954
20200523T1400,70.387955
20200523T1500,70.67595
20200523T1600,72.78195
20200523T1700,73.44795
20200523T1800,73.069954
20200523T1900,71.665955
20200523T2000,69.95595
20200523T2100,63.871956
20200523T2200,60.883957
20200523T2300,58.669956
20200524T0000,57.445953
20200524T0100,56.473953
20200524T0200,55.645958
20200524T0300,54.907955
20200524T0400,54.331955
20200524T0500,53.845955
20200524T0600,53.413956
20200524T0700,53.521957
20200524T0800,54.151955
20200524T0900,55.771957
20200524T1000,57.787956
20200524T1100,59.983955
20200524T1200,62.14395
20200524T1300,64.735954
20200524T1400,66.805954
20200524T1500,67.777954
20200524T1600,67.84995
20200524T1700,67.14795
20200524T1800,66.013954
20200524T1900,64.177956
20200524T2000,61.83795
20200524T2100,59.641956
20200524T2200,58.30996
20200524T2300,57.46396
20200525T0000,56.779957
20200525T0100,56.095955
20200525T0200,55.537956
20200525T0300,55.141956
20200525T0400,54.763954
20200525T0500,54.475956
20200525T0600,54.24196
20200525T0700,54.42196
20200525T0800,55.069954
20200525T0900,57.301956
20200525T1000,60.307957
20200525T1100,64.01595
20200525T1200,67.81395
20200525T1300,70.261955
20200525T1400,71.95395
20200525T1500,73.14195
20200525T1600,73.64595
20200525T1700,73.57396
20200525T1800,72.97995
20200525T1900,71.50395
20200525T2000,69.289955
20200525T2100,67.02196
20200525T2200,65.16795
20200525T2300,63.547955
20200526T0000,62.395958
20200526T0100,61.135956
20200526T0200,60.577957
20200526T0300,60.001953
20200526T0400,59.659958
20200526T0500,59.497955
20200526T0600,59.407955
20200526T0700,59.623955
20200526T0800,60.793957
20200526T0900,63.655952
20200526T1000,67.32796
20200526T1100,71.665955
20200526T1200,75.679955
20200526T1300,78.055954
20200526T1400,79.747955
20200526T1500,80.86395
20200526T1600,81.24196
20200526T1700,81.09795
20200526T1800,80.44995
20200526T1900,79.04596
20200526T2000,76.74196
20200526T2100,73.555954
20200526T2200,70.801956
20200526T2300,68.371956
20200527T0000,66.40996
20200527T0100,64.86195
20200527T0200,63.727955
20200527T0300,62.737953
20200527T0400,62.08996
20200527T0500,61.657955
20200527T0600,61.333954
20200527T0700,61.96395
20200527T0800,63.061954
20200527T0900,66.28395
20200527T1000,70.15395
20200527T1100,74.16795
20200527T1200,77.53395
20200527T1300,78.34395
20200527T1400,78.415955
20200527T1500,78.055954
20200527T1600,78.829956
20200527T1700,78.64995
20200527T1800,78.12796
20200527T1900,76.93996
20200527T2000,74.99596
20200527T2100,72.13396
20200527T2200,69.64995
20200527T2300,67.525955
20200528T0000,66.10396
20200528T0100,66.067955
20200528T0200,66.03195
20200528T0300,65.887955
20200528T0400,66.08595
20200528T0500,66.319954
20200528T0600,66.64395
20200528T0700,67.20195
20200528T0800,67.93996
20200528T0900,69.721954
20200528T1000,71.61195
20200528T1100,73.483955
20200528T1200,73.62796
20200528T1300,74.221954
20200528T1400,76.92195
20200528T1500,78.32595
20200528T1600,80.64795
20200528T1700,80.19795
20200528T1800,80.28795
20200528T1900,78.27196
20200528T2000,76.43596
20200528T2100,73.915955
20200528T2200,71.91795
20200528T2300,70.29796
20200529T0000,69.235954
20200529T0100,68.71395
20200529T0200,68.497955
20200529T0300,68.53395
20200529T0400,68.551956
20200529T0500,68.28195
20200529T0600,68.40796
20200529T0700,69.45195
20200529T0800,71.01795
20200529T0900,73.69995
20200529T1000,76.39995
20200529T1100,78.163956
20200529T1200,77.69595
20200529T1300,77.47995
20200529T1400,79.96395
20200529T1500,80.75595
20200529T1600,79.47795
20200529T1700,78.95595
20200529T1800,78.63196
20200529T1900,77.65996
20200529T2000,76.74196
20200529T2100,75.13995
20200529T2200,73.89795
20200529T2300,72.691956
