location,Seattle
lat,47.66652
lon,-122.34375
asl,48.308
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Seattle Temperature [2 m elevation corrected]
20200522T0000,46.994
20200522T0100,46.309998
20200522T0200,45.716
20200522T0300,45.23
20200522T0400,44.78
20200522T0500,44.474
20200522T0600,44.311996
20200522T0700,44.617996
20200522T0800,45.14
20200522T0900,45.913998
20200522T1000,47.065998
20200522T1100,48.11
20200522T1200,49.045998
20200522T1300,49.892
20200522T1400,50.449997
20200522T1500,50.918
20200522T1600,51.098
20200522T1700,51.188
20200522T1800,51.241997
20200522T1900,50.989998
20200522T2000,50.36
20200522T2100,49.568
20200522T2200,48.794
20200522T2300,48.056
20200523T0000,47.191998
20200523T0100,46.508
20200523T0200,45.949997
20200523T0300,45.283997
20200523T0400,44.815998
20200523T0500,47.048
20200523T0600,46.615997
20200523T0700,46.634
20200523T0800,47.048
20200523T0900,47.606
20200523T1000,48.398
20200523T1100,49.514
20200523T1200,50.954
20200523T1300,52.16
20200523T1400,53.258
20200523T1500,54.59
20200523T1600,55.507996
20200523T1700,56.372
20200523T1800,59.701996
20200523T1900,59.864
20200523T2000,59.197998
20200523T2100,58.225998
20200523T2200,57.199997
20200523T2300,56.173996
20200524T0000,55.309998
20200524T0100,54.536
20200524T0200,53.78
20200524T0300,52.97
20200524T0400,51.944
20200524T0500,51.241997
20200524T0600,50.126
20200524T0700,51.385998
20200524T0800,53.87
20200524T0900,56.173996
20200524T1000,58.91
20200524T1100,61.465996
20200524T1200,63.913998
20200524T1300,64.54399
20200524T1400,64.70599
20200524T1500,64.634
20200524T1600,64.34599
20200524T1700,63.967995
20200524T1800,63.823997
20200524T1900,63.589996
20200524T2000,62.977997
20200524T2100,62.329994
20200524T2200,61.07
20200524T2300,59.9
20200525T0000,58.802
20200525T0100,57.884
20200525T0200,57.092
20200525T0300,56.138
20200525T0400,55.346
20200525T0500,54.842
20200525T0600,54.103996
20200525T0700,53.528
20200525T0800,54.266
20200525T0900,55.489998
20200525T1000,56.227997
20200525T1100,56.57
20200525T1200,57.163998
20200525T1300,58.423996
20200525T1400,59.449997
20200525T1500,60.566
20200525T1600,61.267998
20200525T1700,61.267998
20200525T1800,60.115997
20200525T1900,58.729996
20200525T2000,57.146
20200525T2100,56.192
20200525T2200,55.940002
20200525T2300,55.544
20200526T0000,55.328
20200526T0100,55.075996
20200526T0200,54.86
20200526T0300,54.536
20200526T0400,54.211998
20200526T0500,53.816
20200526T0600,53.114
20200526T0700,52.808
20200526T0800,52.808
20200526T0900,53.239998
20200526T1000,53.888
20200526T1100,54.643997
20200526T1200,55.652
20200526T1300,57.038
20200526T1400,59.323997
20200526T1500,61.628
20200526T1600,63.103996
20200526T1700,63.787994
20200526T1800,64.34599
20200526T1900,64.021996
20200526T2000,62.564
20200526T2100,60.853996
20200526T2200,58.892
20200526T2300,56.912
20200527T0000,55.184
20200527T0100,53.923996
20200527T0200,52.592
20200527T0300,51.026
20200527T0400,49.531998
20200527T0500,48.236
20200527T0600,47.767998
20200527T0700,50.126
20200527T0800,54.211998
20200527T0900,57.991997
20200527T1000,61.339996
20200527T1100,64.201996
20200527T1200,66.95599
20200527T1300,69.20599
20200527T1400,71.312
20200527T1500,72.59
20200527T1600,73.399994
20200527T1700,73.67
20200527T1800,72.158
20200527T1900,69.979996
20200527T2000,66.776
20200527T2100,64.418
20200527T2200,63.355995
20200527T2300,62.096
20200528T0000,60.71
20200528T0100,59.396
20200528T0200,58.1
20200528T0300,57.29
20200528T0400,56.93
20200528T0500,56.713997
20200528T0600,56.912
20200528T0700,57.991997
20200528T0800,61.196
20200528T0900,64.65199
20200528T1000,67.226
20200528T1100,69.799995
20200528T1200,72.5
20200528T1300,74.822
20200528T1400,76.549995
20200528T1500,77.306
20200528T1600,77.395996
20200528T1700,76.87399
20200528T1800,75.308
20200528T1900,73.687996
20200528T2000,71.636
20200528T2100,70.105995
20200528T2200,68.341995
20200528T2300,67.334
20200529T0000,66.28999
20200529T0100,65.444
20200529T0200,64.59799
20200529T0300,63.787994
20200529T0400,62.402
20200529T0500,61.123997
20200529T0600,59.522
20200529T0700,60.044
20200529T0800,62.923996
20200529T0900,65.696
20200529T1000,68.701996
20200529T1100,71.45599
20200529T1200,74.065994
20200529T1300,76.20799
20200529T1400,77.684
20200529T1500,78.51199
20200529T1600,77.99
20200529T1700,76.478
20200529T1800,75.829994
20200529T1900,74.048
20200529T2000,71.563995
20200529T2100,68.27
20200529T2200,65.173996
20200529T2300,62.743996
