location,Los Angeles
lat,33.99987
lon,-118.59375
asl,129.850
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Los Angeles Temperature [2 m elevation corrected]
20200522T0000,62.249947
20200522T0100,60.971943
20200522T0200,59.67594
20200522T0300,58.613945
20200522T0400,57.533943
20200522T0500,57.101944
20200522T0600,56.507942
20200522T0700,57.01194
20200522T0800,58.46994
20200522T0900,61.097942
20200522T1000,64.12194
20200522T1100,66.74994
20200522T1200,68.72994
20200522T1300,69.86394
20200522T1400,70.38594
20200522T1500,70.475945
20200522T1600,70.11594
20200522T1700,69.08994
20200522T1800,67.34395
20200522T1900,65.09395
20200522T2000,62.375946
20200522T2100,60.449944
20200522T2200,58.82994
20200522T2300,57.51594
20200523T0000,56.29194
20200523T0100,55.679943
20200523T0200,55.067944
20200523T0300,54.599945
20200523T0400,54.365944
20200523T0500,57.82194
20200523T0600,57.695942
20200523T0700,58.379944
20200523T0800,60.017944
20200523T0900,62.05194
20200523T1000,64.22994
20200523T1100,66.80394
20200523T1200,68.98195
20200523T1300,70.20594
20200523T1400,70.56594
20200523T1500,70.22394
20200523T1600,69.26994
20200523T1700,68.459946
20200523T1800,68.74794
20200523T1900,67.739944
20200523T2000,66.04794
20200523T2100,64.96794
20200523T2200,63.833942
20200523T2300,62.951942
20200524T0000,62.195942
20200524T0100,61.493942
20200524T0200,60.71994
20200524T0300,60.017944
20200524T0400,59.31594
20200524T0500,58.667942
20200524T0600,58.48794
20200524T0700,60.881943
20200524T0800,64.01395
20200524T0900,67.30794
20200524T1000,70.295944
20200524T1100,72.92394
20200524T1200,75.101944
20200524T1300,76.77594
20200524T1400,77.56794
20200524T1500,77.711945
20200524T1600,77.405945
20200524T1700,76.55994
20200524T1800,74.489944
20200524T1900,72.58194
20200524T2000,70.061935
20200524T2100,68.29794
20200524T2200,66.78594
20200524T2300,65.92194
20200525T0000,65.29195
20200525T0100,64.64394
20200525T0200,63.81594
20200525T0300,63.185944
20200525T0400,62.627945
20200525T0500,62.17794
20200525T0600,61.943943
20200525T0700,63.95994
20200525T0800,68.117935
20200525T0900,72.347946
20200525T1000,75.89394
20200525T1100,78.55794
20200525T1200,80.42994
20200525T1300,81.43794
20200525T1400,82.265945
20200525T1500,82.19394
20200525T1600,81.86994
20200525T1700,81.27594
20200525T1800,79.61994
20200525T1900,77.72994
20200525T2000,74.63394
20200525T2100,72.07794
20200525T2200,70.56594
20200525T2300,69.64794
20200526T0000,68.98195
20200526T0100,67.97394
20200526T0200,66.98395
20200526T0300,66.209946
20200526T0400,65.75994
20200526T0500,65.57994
20200526T0600,65.34595
20200526T0700,67.01994
20200526T0800,71.12394
20200526T0900,75.13794
20200526T1000,78.82794
20200526T1100,81.851944
20200526T1200,84.155945
20200526T1300,85.28995
20200526T1400,85.99194
20200526T1500,86.24394
20200526T1600,86.00994
20200526T1700,85.23594
20200526T1800,82.84194
20200526T1900,80.15994
20200526T2000,76.30794
20200526T2100,73.28394
20200526T2200,71.35794
20200526T2300,70.27794
20200527T0000,69.34194
20200527T0100,68.36994
20200527T0200,67.505936
20200527T0300,66.89394
20200527T0400,66.44394
20200527T0500,65.975945
20200527T0600,65.70594
20200527T0700,67.23595
20200527T0800,70.20594
20200527T0900,73.60794
20200527T1000,77.18994
20200527T1100,80.03394
20200527T1200,82.31995
20200527T1300,83.597946
20200527T1400,84.101944
20200527T1500,83.83194
20200527T1600,83.09395
20200527T1700,81.94194
20200527T1800,78.80994
20200527T1900,75.875946
20200527T2000,72.45594
20200527T2100,70.11594
20200527T2200,68.67594
20200527T2300,67.55994
20200528T0000,66.62394
20200528T0100,65.849945
20200528T0200,64.98595
20200528T0300,64.19394
20200528T0400,63.50994
20200528T0500,63.02394
20200528T0600,62.951942
20200528T0700,64.625946
20200528T0800,67.36194
20200528T0900,70.295944
20200528T1000,72.959946
20200528T1100,75.281944
20200528T1200,77.27994
20200528T1300,78.66594
20200528T1400,79.349945
20200528T1500,79.31394
20200528T1600,78.71994
20200528T1700,77.60394
20200528T1800,74.129944
20200528T1900,70.81794
20200528T2000,67.59595
20200528T2100,65.68794
20200528T2200,64.66194
20200528T2300,63.707943
20200529T0000,62.86194
20200529T0100,62.195942
20200529T0200,61.87194
20200529T0300,61.56594
20200529T0400,61.421944
20200529T0500,61.187943
20200529T0600,60.881943
20200529T0700,61.349945
20200529T0800,62.48394
20200529T0900,64.04994
20200529T1000,66.19194
20200529T1100,68.99994
20200529T1200,71.44794
20200529T1300,73.28394
20200529T1400,74.38194
20200529T1500,74.57994
20200529T1600,73.931946
20200529T1700,72.52794
20200529T1800,70.31394
20200529T1900,67.68594
20200529T2000,64.46394
20200529T2100,62.627945
20200529T2200,61.22394
20200529T2300,60.143944
