location,Minneapolis
lat,44.99986
lon,-93.28125
asl,270.214
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Minneapolis Temperature [2 m elevation corrected]
20200522T0000,59.0934
20200522T0100,57.7614
20200522T0200,56.5734
20200522T0300,55.4754
20200522T0400,54.3954
20200522T0500,53.4054
20200522T0600,52.685402
20200522T0700,54.809402
20200522T0800,58.7514
20200522T0900,62.1894
20200522T1000,63.5754
20200522T1100,64.637405
20200522T1200,66.0594
20200522T1300,67.1754
20200522T1400,68.3994
20200522T1500,69.4974
20200522T1600,70.433395
20200522T1700,70.973404
20200522T1800,71.1174
20200522T1900,70.7754
20200522T2000,69.9474
20200522T2100,68.6694
20200522T2200,67.6974
20200522T2300,66.9414
20200523T0000,66.1314
20200523T0100,65.3574
20200523T0200,64.3854
20200523T0300,63.2514
20200523T0400,62.405403
20200523T0500,62.0454
20200523T0600,62.0094
20200523T0700,57.401398
20200523T0800,59.003403
20200523T0900,61.8834
20200523T1000,63.8994
20200523T1100,64.907394
20200523T1200,66.2034
20200523T1300,66.79739
20200523T1400,67.139404
20200523T1500,67.9854
20200523T1600,69.443405
20200523T1700,69.767395
20200523T1800,68.849396
20200523T1900,69.2454
20200523T2000,67.3554
20200523T2100,65.3754
20200523T2200,64.2774
20200523T2300,63.5934
20200524T0000,62.2614
20200524T0100,61.2894
20200524T0200,60.2454
20200524T0300,59.543396
20200524T0400,59.309402
20200524T0500,59.111397
20200524T0600,59.165398
20200524T0700,59.345398
20200524T0800,61.235397
20200524T0900,63.5754
20200524T1000,65.6994
20200524T1100,68.6694
20200524T1200,71.9274
20200524T1300,74.7354
20200524T1400,75.905396
20200524T1500,76.4274
20200524T1600,78.2094
20200524T1700,79.2894
20200524T1800,79.793396
20200524T1900,78.749405
20200524T2000,76.211395
20200524T2100,74.4834
20200524T2200,71.9274
20200524T2300,68.8314
20200525T0000,67.571396
20200525T0100,66.545395
20200525T0200,65.5914
20200525T0300,64.7814
20200525T0400,64.1694
20200525T0500,63.359398
20200525T0600,62.513397
20200525T0700,62.3694
20200525T0800,64.4214
20200525T0900,66.6174
20200525T1000,67.877396
20200525T1100,68.9394
20200525T1200,72.7914
20200525T1300,73.8174
20200525T1400,73.3854
20200525T1500,74.249405
20200525T1600,74.3934
20200525T1700,75.473404
20200525T1800,74.7894
20200525T1900,74.267395
20200525T2000,73.7994
20200525T2100,72.7014
20200525T2200,71.279396
20200525T2300,69.6774
20200526T0000,68.417404
20200526T0100,66.7074
20200526T0200,66.239395
20200526T0300,65.9154
20200526T0400,65.7354
20200526T0500,65.4294
20200526T0600,65.2314
20200526T0700,65.7174
20200526T0800,66.9414
20200526T0900,68.6874
20200526T1000,70.8654
20200526T1100,74.6094
20200526T1200,76.823395
20200526T1300,76.463394
20200526T1400,77.9034
20200526T1500,77.2014
20200526T1600,77.07539
20200526T1700,76.769394
20200526T1800,77.7594
20200526T1900,75.9234
20200526T2000,73.7094
20200526T2100,70.685394
20200526T2200,67.8414
20200526T2300,65.7894
20200527T0000,65.0694
20200527T0100,64.241394
20200527T0200,63.1614
20200527T0300,62.2254
20200527T0400,61.5234
20200527T0500,60.947395
20200527T0600,60.5514
20200527T0700,60.7314
20200527T0800,61.9374
20200527T0900,63.8274
20200527T1000,66.6534
20200527T1100,70.4874
20200527T1200,73.1514
20200527T1300,74.1774
20200527T1400,75.9954
20200527T1500,76.9314
20200527T1600,77.795395
20200527T1700,78.3174
20200527T1800,78.155396
20200527T1900,77.7594
20200527T2000,75.0054
20200527T2100,72.1254
20200527T2200,69.335396
20200527T2300,66.9234
20200528T0000,65.8434
20200528T0100,64.889404
20200528T0200,64.241394
20200528T0300,63.3774
20200528T0400,62.459396
20200528T0500,62.333397
20200528T0600,62.153397
20200528T0700,63.0354
20200528T0800,64.0074
20200528T0900,63.6294
20200528T1000,67.211395
20200528T1100,71.8734
20200528T1200,74.0334
20200528T1300,75.2214
20200528T1400,75.8694
20200528T1500,75.9414
20200528T1600,75.491394
20200528T1700,74.4294
20200528T1800,72.3954
20200528T1900,69.5874
20200528T2000,66.6714
20200528T2100,63.2874
20200528T2200,60.7854
20200528T2300,58.7154
20200529T0000,57.0234
20200529T0100,55.457397
20200529T0200,53.9094
20200529T0300,52.4514
20200529T0400,50.9394
20200529T0500,49.5174
20200529T0600,48.3474
20200529T0700,49.139397
20200529T0800,51.5334
20200529T0900,52.7394
20200529T1000,55.4934
20200529T1100,57.401398
20200529T1200,58.7694
20200529T1300,60.263397
20200529T1400,61.415398
20200529T1500,62.3694
20200529T1600,64.1154
20200529T1700,64.3674
20200529T1800,64.9794
20200529T1900,64.54739
20200529T2000,63.665398
20200529T2100,61.9554
20200529T2200,60.443398
20200529T2300,59.0754
