location,Las Vegas
lat,36.33320
lon,-114.84375
asl,721.122
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Las Vegas Temperature [2 m elevation corrected]
20200522T0000,68.18413
20200522T0100,65.826126
20200522T0200,63.144127
20200522T0300,60.228123
20200522T0400,56.880123
20200522T0500,53.874123
20200522T0600,52.18212
20200522T0700,58.158123
20200522T0800,65.64612
20200522T0900,72.50413
20200522T1000,79.11012
20200522T1100,83.55612
20200522T1200,86.59813
20200522T1300,88.65012
20200522T1400,89.76613
20200522T1500,90.18013
20200522T1600,90.03612
20200522T1700,89.46013
20200522T1800,88.272125
20200522T1900,85.662125
20200522T2000,79.65012
20200522T2100,73.69212
20200522T2200,69.120125
20200522T2300,65.48412
20200523T0000,62.748123
20200523T0100,61.038124
20200523T0200,59.094124
20200523T0300,57.060123
20200523T0400,54.43212
20200523T0500,53.082123
20200523T0600,52.79412
20200523T0700,59.058125
20200523T0800,64.69212
20200523T0900,67.86012
20200523T1000,70.704124
20200523T1100,73.51212
20200523T1200,76.32012
20200523T1300,78.62413
20200523T1400,80.56812
20200523T1500,82.00812
20200523T1600,82.78212
20200523T1700,82.99812
20200523T1800,82.17012
20200523T1900,80.10013
20200523T2000,74.98813
20200523T2100,72.23412
20200523T2200,69.13812
20200523T2300,65.106125
20200524T0000,60.192123
20200524T0100,56.412125
20200524T0200,53.676125
20200524T0300,51.426125
20200524T0400,49.500122
20200524T0500,48.222122
20200524T0600,52.020123
20200524T0700,60.840126
20200524T0800,68.52612
20200524T0900,73.56613
20200524T1000,76.482124
20200524T1100,79.11012
20200524T1200,81.54012
20200524T1300,83.57413
20200524T1400,85.230125
20200524T1500,86.49013
20200524T1600,87.22812
20200524T1700,87.21013
20200524T1800,86.43613
20200524T1900,84.49213
20200524T2000,79.43413
20200524T2100,76.788124
20200524T2200,73.96213
20200524T2300,70.272125
20200525T0000,65.07013
20200525T0100,60.138123
20200525T0200,56.916122
20200525T0300,54.720123
20200525T0400,52.776123
20200525T0500,51.174126
20200525T0600,55.04412
20200525T0700,64.09813
20200525T0800,72.036125
20200525T0900,76.842125
20200525T1000,79.77612
20200525T1100,82.24213
20200525T1200,84.65413
20200525T1300,86.77812
20200525T1400,88.56013
20200525T1500,89.78412
20200525T1600,90.55812
20200525T1700,90.68413
20200525T1800,90.12612
20200525T1900,88.43413
20200525T2000,84.85213
20200525T2100,83.14212
20200525T2200,80.74812
20200525T2300,78.51613
20200526T0000,76.44612
20200526T0100,74.79012
20200526T0200,69.80412
20200526T0300,65.73613
20200526T0400,61.578125
20200526T0500,58.644123
20200526T0600,62.316124
20200526T0700,71.46013
20200526T0800,80.04613
20200526T0900,86.04012
20200526T1000,89.40613
20200526T1100,92.50212
20200526T1200,95.25612
20200526T1300,97.48812
20200526T1400,99.054115
20200526T1500,100.15212
20200526T1600,100.67412
20200526T1700,100.60212
20200526T1800,99.50412
20200526T1900,97.272125
20200526T2000,92.19612
20200526T2100,89.53212
20200526T2200,86.77812
20200526T2300,84.58212
20200527T0000,82.20612
20200527T0100,79.65012
20200527T0200,76.37413
20200527T0300,72.97212
20200527T0400,69.732124
20200527T0500,66.76212
20200527T0600,69.76813
20200527T0700,78.93013
20200527T0800,88.23613
20200527T0900,94.69812
20200527T1000,97.884125
20200527T1100,100.818115
20200527T1200,103.46412
20200527T1300,105.26412
20200527T1400,106.290115
20200527T1500,106.86612
20200527T1600,106.90212
20200527T1700,106.50612
20200527T1800,105.53412
20200527T1900,103.41012
20200527T2000,97.86612
20200527T2100,94.12212
20200527T2200,90.75612
20200527T2300,87.606125
20200528T0000,83.97012
20200528T0100,80.58612
20200528T0200,77.18413
20200528T0300,73.94412
20200528T0400,70.758125
20200528T0500,68.13013
20200528T0600,71.64012
20200528T0700,80.87413
20200528T0800,89.730125
20200528T0900,95.92212
20200528T1000,99.07212
20200528T1100,101.93412
20200528T1200,104.79612
20200528T1300,107.010124
20200528T1400,108.00012
20200528T1500,108.36012
20200528T1600,108.180115
20200528T1700,107.58612
20200528T1800,106.290115
20200528T1900,103.86012
20200528T2000,95.76012
20200528T2100,92.07012
20200528T2200,88.74013
20200528T2300,84.924126
20200529T0000,81.19812
20200529T0100,78.300125
20200529T0200,76.06812
20200529T0300,74.232124
20200529T0400,72.00012
20200529T0500,69.51613
20200529T0600,72.09012
20200529T0700,81.216125
20200529T0800,90.32412
20200529T0900,96.89413
20200529T1000,100.260124
20200529T1100,103.15812
20200529T1200,105.37212
20200529T1300,106.79412
20200529T1400,107.35212
20200529T1500,107.20812
20200529T1600,106.36212
20200529T1700,104.86812
20200529T1800,102.79812
20200529T1900,99.86412
20200529T2000,91.494125
20200529T2100,87.67812
20200529T2200,84.744125
20200529T2300,81.468124
