location,Miami
lat,25.99988
lon,-80.15625
asl,1.835
variable,Temperature
unit,°F
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Miami Temperature [2 m elevation corrected]
20200522T0000,77.556076
20200522T0100,77.142075
20200522T0200,76.62007
20200522T0300,76.18807
20200522T0400,75.90007
20200522T0500,75.64807
20200522T0600,75.39607
20200522T0700,75.612076
20200522T0800,78.04207
20200522T0900,80.07607
20200522T1000,81.51607
20200522T1100,82.740074
20200522T1200,83.47807
20200522T1300,83.96407
20200522T1400,82.02007
20200522T1500,81.22807
20200522T1600,82.79407
20200522T1700,82.68607
20200522T1800,82.056076
20200522T1900,81.030075
20200522T2000,79.82407
20200522T2100,79.032074
20200522T2200,78.45607
20200522T2300,77.98807
20200523T0000,77.57407
20200523T0100,77.21407
20200523T0200,76.94408
20200523T0300,76.67407
20200523T0400,76.42207
20200523T0500,76.20607
20200523T0600,76.08007
20200523T0700,76.36807
20200523T0800,78.780075
20200523T0900,80.16608
20200523T1000,79.78807
20200523T1100,79.806076
20200523T1200,79.86008
20200523T1300,79.82407
20200523T1400,79.66207
20200523T1500,79.41007
20200523T1600,79.10407
20200523T1700,78.90607
20200523T1800,78.67207
20200523T1900,78.36607
20200523T2000,77.862076
20200523T2100,79.48207
20200523T2200,79.41007
20200523T2300,79.23007
20200524T0000,79.01407
20200524T0100,78.25807
20200524T0200,77.95207
20200524T0300,77.73607
20200524T0400,77.628075
20200524T0500,77.61008
20200524T0600,77.64607
20200524T0700,77.41207
20200524T0800,77.754074
20200524T0900,77.84407
20200524T1000,77.35808
20200524T1100,76.99808
20200524T1200,77.05208
20200524T1300,77.628075
20200524T1400,78.00607
20200524T1500,78.31207
20200524T1600,78.51007
20200524T1700,78.474075
20200524T1800,78.31207
20200524T1900,78.27607
20200524T2000,78.168076
20200524T2100,77.68207
20200524T2200,76.94408
20200524T2300,76.06207
20200525T0000,75.57607
20200525T0100,75.79207
20200525T0200,75.95407
20200525T0300,76.54807
20200525T0400,76.36807
20200525T0500,76.26007
20200525T0600,76.296074
20200525T0700,76.13408
20200525T0800,76.170074
20200525T0900,76.56607
20200525T1000,77.142075
20200525T1100,78.00607
20200525T1200,79.24808
20200525T1300,80.16608
20200525T1400,79.95007
20200525T1500,79.320076
20200525T1600,79.05007
20200525T1700,78.834076
20200525T1800,78.96007
20200525T1900,79.37407
20200525T2000,79.41007
20200525T2100,78.67207
20200525T2200,78.65407
20200525T2300,79.032074
20200526T0000,79.24808
20200526T0100,79.26607
20200526T0200,79.59007
20200526T0300,79.66207
20200526T0400,79.71607
20200526T0500,79.64407
20200526T0600,78.92407
20200526T0700,78.76207
20200526T0800,79.91408
20200526T0900,80.34607
20200526T1000,81.51607
20200526T1100,81.44408
20200526T1200,83.640076
20200526T1300,82.48807
20200526T1400,82.47008
20200526T1500,84.70207
20200526T1600,83.65807
20200526T1700,83.46007
20200526T1800,83.78407
20200526T1900,82.95607
20200526T2000,81.60607
20200526T2100,80.83207
20200526T2200,80.63408
20200526T2300,80.61607
20200527T0000,80.724075
20200527T0100,80.22008
20200527T0200,79.82407
20200527T0300,79.48207
20200527T0400,79.26607
20200527T0500,79.086075
20200527T0600,79.53607
20200527T0700,79.15807
20200527T0800,79.392075
20200527T0900,80.81407
20200527T1000,82.668076
20200527T1100,84.27007
20200527T1200,85.69208
20200527T1300,84.52207
20200527T1400,84.18007
20200527T1500,83.62207
20200527T1600,83.11807
20200527T1700,84.63007
20200527T1800,84.378075
20200527T1900,83.49608
20200527T2000,81.84007
20200527T2100,81.51607
20200527T2200,81.66007
20200527T2300,81.76807
20200528T0000,81.93007
20200528T0100,81.15607
20200528T0200,80.54407
20200528T0300,79.98607
20200528T0400,79.59007
20200528T0500,79.24808
20200528T0600,79.01407
20200528T0700,79.320076
20200528T0800,81.15607
20200528T0900,82.23607
20200528T1000,84.34207
20200528T1100,85.63808
20200528T1200,87.51007
20200528T1300,87.96007
20200528T1400,85.98007
20200528T1500,86.97008
20200528T1600,87.240074
20200528T1700,87.02407
20200528T1800,86.01607
20200528T1900,84.48607
20200528T2000,82.77607
20200528T2100,82.128075
20200528T2200,81.48007
20200528T2300,80.99407
20200529T0000,80.670074
20200529T0100,79.95007
20200529T0200,79.33807
20200529T0300,78.85207
20200529T0400,78.49207
20200529T0500,78.18607
20200529T0600,78.00607
20200529T0700,78.25807
20200529T0800,80.02207
20200529T0900,81.87607
20200529T1000,83.586075
20200529T1100,85.13408
20200529T1200,86.142075
20200529T1300,85.278076
20200529T1400,85.44008
20200529T1500,86.25008
20200529T1600,85.76407
20200529T1700,84.684074
20200529T1800,83.87407
20200529T1900,82.50607
20200529T2000,81.51607
20200529T2100,80.50807
20200529T2200,79.95007
20200529T2300,79.42807
